,order_id,categoria,categoria_final
1361,3614e1d9603e0068d80dcf12c407795f,['CASA E CONFORTO'],CASA E CONFORTO
1362,3619a458c860886f0ec0a5b79ee5ad41,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1363,36272970346cb4aadae6ef0defd79773,['MODA E BELEZA'],MODA E BELEZA
1364,363a9cad1728c3e133254825f3e853cf,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1365,363ef87a97dcef74ca5b91ca4a415f3c,['BEBES'],BEBES
1366,3645c66b5c03384bc97063c45b29acd7,['ARTES E DECORACAO'],ARTES E DECORACAO
1367,3649c428a77ac1530029dbfb706a02ee,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1368,364f6a92b4afc67ac3104f92bec22ba8,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1369,3657d83f0ccdda70b89b5ae9e6fdb07c,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1370,3660db6c1a7919853db1ef6f820a301e,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1371,3669a1658de0b6df4a21845696974094,['MODA E BELEZA'],MODA E BELEZA
1372,367085f34fdfc417d0087dfeab08ad73,['MODA E BELEZA'],MODA E BELEZA
1373,3683eb727daa8e1c605aeabd87b02445,['ARTES E DECORACAO'],ARTES E DECORACAO
1374,368f8d217d97abd561399215e13db4e3,['MODA E BELEZA'],MODA E BELEZA
1375,369c055c7ea13627ab3d3100c5af3e8b,['MODA E BELEZA'],MODA E BELEZA
1376,36a179cea5792575e6b9682f13e44287,['AUTOMOTIVO'],AUTOMOTIVO
1377,36a55da00696783d804dcef6c490cbf9,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1378,36a924d21368a46d4ed120b8adb1dc3d,['AUTOMOTIVO'],AUTOMOTIVO
1379,36af11f74568a0546f14fc0e5a0c2851,['CASA E CONFORTO'],CASA E CONFORTO
1380,36b33af016121e29d4fa1c46c492f656,['AUTOMOTIVO'],AUTOMOTIVO
1381,36b5cc783d21a08a8a8f6cf537de2153,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1382,36bcbda035e6775be01e15081157c4aa,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1383,36c68e2e8ad21203f7f149a315550bb7,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1384,36cdcd48e9697951eef9c32ef39dc9f3,['MODA E BELEZA'],MODA E BELEZA
1385,36d60fb57f3153d3296bf4738b68fff1,['ARTES E DECORACAO'],ARTES E DECORACAO
1386,36e08847e59e1d2e3dc6b1c1fb69fcda,['MODA E BELEZA'],MODA E BELEZA
1387,36e2905ab14ea657095b38b36727ad07,['CASA E CONFORTO'],CASA E CONFORTO
1388,36e6b99ba54c4963136edbf31f33d781,['AUTOMOTIVO'],AUTOMOTIVO
1389,36eaf39d8bbef8a728ee1a7515980fc0,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
